Year;Maximum Water Height (m);Total Deaths;Total Damage ($Mil);Total Houses Destroyed;Total Houses Damaged;Country
1800;;;;;;PORTUGAL
1802;;;;;;CROATIA
1802;;;;;;ANTIGUA AND BARBUDA
1802;;;;;;UK
1802;;;;;;VENEZUELA
1802;;;;;;INDONESIA
1802;;;;1100;;ALGERIA
1802;;19;;1060;;JAPAN
1804;;;;;;GREECE
1804;;;;;;SPAIN
1804;;;;;;GREECE
1804;1;450;;10810;300;JAPAN
1804;;;;;;ITALY
1805;;;;;;GREECE
1805;5;;;1;;AUSTRALIA
1805;;;;;;ITALY
1806;;;;;;USA
1806;;;;;;ITALY
1806;1;;;;;PERU
1806;1.5;;;;;FRENCH POLYNESIA
1808;0.15;2;;;;ITALY
1808;1.5;;;;;JAPAN
1808;;;;;;JAPAN
1809;;;;;;ITALY
1809;;;;;;PORTUGAL
1809;;;;;;SOUTH AFRICA
1809;;;;;;USA TERRITORY
1810;;;;;;GREECE
1810;;;;;;MEXICO
1810;1;57;;1084;;JAPAN
1810;;;;;;NEW ZEALAND
1810;;;;;;NORWAY
1811;4;;;;;CHILE
1811;;;;;;USA
1811;;;;;;USA
1812;;;;;;USA
1812;;;;;;USA
1812;;26000;;;;VENEZUELA
1812;;;;;;FRANCE
1812;;;;;;JAMAICA
1812;3.4;1;;;;USA
1812;;;;;;USA
1813;;;;;;ITALY
1813;;;;;;USA
1814;;;;;;INDONESIA
1815;4;60000;;;;INDONESIA
1815;;;;;;INDONESIA
1815;;11453;;;;INDONESIA
1816;;;;;;PORTUGAL
1816;;;;;;INDONESIA
1816;;;;;;JAPAN
1817;;;;;;GREECE
1817;0.3;;;;;USA
1817;;;;;;ITALY
1817;5;;;;;GREECE
1818;;;;;;GREECE
1818;;72;;;;ITALY
1818;;;;;;ITALY
1818;;;;;;INDONESIA
1818;3.5;;;;;INDONESIA
1818;;;;;;ITALY
1819;;;;;;ITALY
1819;4;;;;;CHILE
1819;;1543;;1547;;INDIA
1819;;;;;;NORWAY
1819;;;;;;USA TERRITORY
1820;;;;;;USA
1820;;;;;;GREECE
1820;4;;;;;MEXICO
1820;;;;;;ITALY
1820;;8;;79;;GREECE
1820;25;500;;;;INDONESIA
1820;;;;;;USA
1820;;;;;;CONGO
1821;;;;;;GREECE
1821;;;;;;COSTA RICA
1821;;3;;;;UK TERRITORY
1821;;;;;;USA
1821;;;;;;INDONESIA
1822;;;;;;LEBANON
1822;;;;;;ITALY
1822;;;;;;COSTA RICA
1822;;8000;;;;TURKEY
1822;3.6;72;;;;CHILE
1823;;;;;;ITALY
1823;2.74;;;;;USA
1823;;;;;;CROATIA
1823;0.3;;;;;INDONESIA
1823;;;;;;CROATIA
1823;;;;;;MARTINIQUE (FRENCH TERRITORY)
1824;;;;;;GUADELOUPE (FRENCH TERRITORY)
1824;;;;;;PHILIPPINES
1824;;;;;;MARTINIQUE (FRENCH TERRITORY)
1825;;;;;;DENMARK
1825;;58;;;;GREECE
1825;;;;;;COLOMBIA
1825;;;;;;USA
1825;;;;;;USA TERRITORY
1825;;;;;;TRINIDAD AND TOBAGO
1826;;;;;;JAPAN
1826;;;;;;ITALY
1826;;;;;;USA
1826;;;;;;NEW ZEALAND
1827;;;;;;USA
1827;;;;;;USA
1827;;;;;;RUSSIA
1827;;;;;;ECUADOR
1827;;;;;;USA
1828;;;;;;PERU
1828;;;;;;JAPAN
1828;;;;;;ITALY
1828;;;;;;PHILIPPINES
1828;;1443;;11750;;JAPAN
1828;;;;;;INDONESIA
1829;;;;;;TURKEY
1829;;;;;;CHILE
1830;;;;;;HOLLAND
1830;1;;;;;PHILIPPINES
1830;;;;;;PHILIPPINES
1831;;;;;;ITALY
1831;;;;;;ITALY
1831;;;;;;TRINIDAD AND TOBAGO
1831;;;;;;NEW ZEALAND
1832;;234;;;;ITALY
1833;;;;;;ALBANIA
1833;;;;;;MEXICO
1833;;6700;;87620;;CHINA
1833;9;700;;1001;;PERU
1833;;;;;;INDONESIA
1833;9;85;;1140;1790;JAPAN
1834;;;;73;;JAPAN
1834;;;;;;MEXICO
1835;24;53;;;;CHILE
1835;;;;;;GREECE
1835;5;;;;;JAPAN
1835;;;;;;JAPAN
1836;;;;;;AUSTRALIA
1836;;;;;;INDONESIA
1836;;589;;;;ITALY
1836;;;;;;CHILE
1836;;;;;;JAPAN
1836;;;;;;INDONESIA
1837;;;;;;ISRAEL
1837;;;;;;NETHERLANDS
1837;;;;;;USA TERRITORY
1837;;;;;;MEXICO
1837;;;;;;INDONESIA
1837;;;;;;MEXICO
1837;;;;;;MICRONESIA, FED. STATES OF
1837;6;16;;;;CHILE
1838;0.8;;;;;CHILE
1838;;;;;;CROATIA
1839;;;;;;CHILE
1839;;;;;;USA
1839;;;;;;JAPAN
1839;;;;;;NEW ZEALAND
1840;;;;;;INDONESIA
1840;;;;;;USA
1840;;;;;;PERU
1840;;;;500;;INDONESIA
1840;;52;;;;PHILIPPINES
1840;;;;;;NEW ZEALAND
1840;1;;;;;NEW ZEALAND
1840;;;;;;USA
1840;;;;;;USA
1841;15;;;;;RUSSIA
1841;3;;;;;INDONESIA
1841;1.5;;;;;INDONESIA
1841;;;;;;PERU
1842;5;5300;;;;HAITI
1842;;;;;;CANADA
1842;;;;;;BANGLADESH
1843;;;;;;INDONESIA
1843;;;;;;INDONESIA
1843;1.2;5000;;;;GUADELOUPE (FRENCH TERRITORY)
1843;;;;;;GUADELOUPE (FRENCH TERRITORY)
1843;4.5;45;;75;;JAPAN
1843;;;;;;UK
1843;;;;;;NEW ZEALAND
1843;;;;;;CROATIA
1843;;;;;;GREECE
1844;;;;;;CROATIA
1844;;;;;;JAPAN
1844;;;;;;CROATIA
1844;;;;;;NICARAGUA
1845;;118;;;;INDONESIA
1845;;;;;;MEXICO
1845;;;;;;ITALY
1845;;;;;;INDIA
1845;1;;;;;NEW ZEALAND
1845;;;;;;CROATIA
1845;;;;;;JAPAN
1845;;100;;;;USA
1846;1.2;;;;;INDONESIA
1846;2;;;;;JAPAN
1846;;;;;;NEW ZEALAND
1846;;;;;;TURKEY
1846;;56;;;;ITALY
1846;;;;;;ITALY
1846;;;;;;ITALY
1846;;;;;;ITALY
1846;;;;;;ITALY
1846;;;;;;ITALY
1846;;;;;;ITALY
1846;;;;;;ITALY
1846;;;;;;ITALY
1846;;;;;;ITALY
1846;;;;;;ITALY
1846;;;;;;TURKEY
1847;;;;;;ITALY
1847;;;;;;ITALY
1847;;;;;;ITALY
1847;2;;;;;PERU
1847;7;10;;;;PORTUGAL
1847;;;;;;ITALY
1847;;335;;;;JAPAN
1847;;;;;;CHILE
1847;;;;;;INDIA
1848;;;;;;RUSSIA
1848;;;;;;FRENCH POLYNESIA
1848;;;;;;CANADA
1848;0.3;;;;;NEW ZEALAND
1848;;;;;;NEW ZEALAND
1848;;3;;;;NEW ZEALAND
1849;6.1;;;;;USA TERRITORY
1849;;;;;;RUSSIA
1849;5;;;;;CHILE
1850;;;;;;ITALY
1850;;;;;;ITALY
1850;2;;;;;JAPAN
1850;;;;;;ITALY
1850;;;;;;NORTHWEST PACIFIC OCEAN
1851;;;;;;GREECE
1851;0.9;;;;;TURKEY
1851;;;;;;CHILE
1851;;;;;;TURKEY
1851;1.5;;;;;INDONESIA
1851;;;;;;USA
1851;;;;;;GREECE
1851;3;;;;;CHILE
1851;;;;;;ITALY
1851;0.66;2000;;;;ALBANIA
1851;;;;;;USA
1851;;;;;;ITALY
1852;;;;;;INDONESIA
1852;;;;;;ITALY
1852;;;;;;TURKEY
1852;;;;;;ITALY
1852;;;;;;CUBA
1852;;;;;;TURKEY
1852;;3;;;;PHILIPPINES
1852;;;;;;INDONESIA
1852;;;;;;ITALY
1852;;;;;;INDONESIA
1852;;;;;;INDONESIA
1852;;;;;;INDONESIA
1852;;;;;;INDONESIA
1852;;;;;;USA
1852;8;60;;;;INDONESIA
1852;;;;;;PERU
1852;3;;;;;MEXICO
1852;;1;;;;MEXICO
1852;;;;;;INDONESIA
1852;1.2;;;;;AUSTRALIA
1853;;;;;;ITALY
1853;5;1000;;;;VENEZUELA
1853;;17;;;;GREECE
1853;;;;;;JAPAN
1853;;;;;;TAIWAN
1853;;;;;;RUSSIA
1853;1;;;;;MONTENEGRO
1853;;;;;;TONGA
1853;120;;;;;USA
1854;;;;;;INDONESIA
1854;;;;;;NORTHWEST PACIFIC OCEAN
1854;2.4;;;;;USA
1854;;;;;;FRANCE
1854;;;;;;USA
1854;;;;;;RUSSIA
1854;;;;;;RUSSIA
1854;0.1;;;;;USA
1854;;;;;;COSTA RICA
1854;;;;;;COSTA RICA
1854;0.03;;;;;USA
1854;;;;;;INDONESIA
1854;0.03;;;;;USA
1854;;;;;;USA
1854;;;;;;USA
1854;;;;;;USA
1854;;;;;;USA
1854;;;;;;MEXICO
1854;21;1000;;8900;;JAPAN
1854;28;3000;;20000;;JAPAN
1854;;;;;;FRANCE
1855;11;;;;;NEW ZEALAND
1855;;;;;;NEW ZEALAND
1855;;;;;;NEW ZEALAND
1855;;;;;;TURKEY
1855;10;;;;;PORTUGAL
1855;;;;;;USA
1855;;;;;;INDONESIA
1855;;;;;;FRANCE
1855;;;;1;26;USA
1855;;;;;;CHILE
1855;;;;;;HONDURAS
1855;;;;;;USA
1855;3;;;;;JAPAN
1855;;6757;;50000;;JAPAN
1855;;;;;;JAPAN
1855;3;;;;;CHINA
1856;10;;;;;PORTUGAL
1856;0.6;;;;;USA
1856;;2806;;;;INDONESIA
1856;1;;;;;NEW ZEALAND
1856;;;;;;INDONESIA
1856;;;;;;USA
1856;5;;;;;HONDURAS
1856;3.75;5;;;;ALGERIA
1856;5;8;;;;ALGERIA
1856;6;26;;193;238;JAPAN
1856;;;;;;JAPAN
1856;;538;;8000;;GREECE
1856;;;;;;GREECE
1857;;;;;;SUDAN
1857;;;;;;PAPUA NEW GUINEA
1857;3.4;36;;;;INDONESIA
1857;;;;;;ALGERIA
1857;;;;;;JAPAN
1857;;;;;;TURKEY
1857;;;;;;INDONESIA
1857;;;;;;INDONESIA
1858;;;;;;AUSTRALIA
1858;;;;;;GREECE
1858;;;;;;CHILE
1858;2.4;;;;;UK
1858;;;;;;NEW ZEALAND
1858;;;;;;NEW ZEALAND
1858;;;;;;JAPAN
1858;;;;;;INDONESIA
1859;10;;;;;INDONESIA
1859;;;;;;INDONESIA
1859;1;;;;;INDONESIA
1859;;;;;;TURKEY
1859;;;;;;EL SALVADOR
1859;4.6;;;;;USA
1859;;;;;;INDONESIA
1859;6;10;;339;;CHILE
1859;;;;200;;CHILE
1859;;2;;;;INDONESIA
1859;;;;;;GREECE
1859;;;;;;INDONESIA
1859;;;;;;AUSTRALIA
1859;;;;;;EL SALVADOR
1859;;;;;;INDONESIA
1859;;;;;;INDONESIA
1860;;;;;;SPAIN
1860;;;;;;MEXICO
1860;;;;;;HAITI
1860;;;;;;PERU
1860;;;;;;INDONESIA
1860;;;;;;INDONESIA
1860;3.6;;;;;USA
1861;7;1105;;;;INDONESIA
1861;;;;;;INDONESIA
1861;;950;;96;;INDONESIA
1861;;;;;;CHILE
1861;1.8;;;;;INDONESIA
1861;;;;;;INDONESIA
1861;;;;;;USA
1861;;;;;;USA
1861;;;;;;INDONESIA
1861;;;;;;INDONESIA
1861;;;;;;INDONESIA
1861;3.9;;;70;;JAPAN
1861;2.1;;;;;GREECE
1862;;;;;;GREECE
1862;;;;;;USA
1862;;;;;;PHILIPPINES
1862;;;;;;FRANCE
1862;2.1;;;;;INDONESIA
1862;1.2;;;;;USA
1862;;3;;;;GHANA
1862;;;;;;ITALY
1863;;;;;;INDONESIA
1863;;300;;2050;;GREECE
1863;;400;;1172;;PHILIPPINES
1863;;;;;;VANUATU
1863;;;;;;JAPAN
1863;;;;;;CANADA
1864;;;;;;INDONESIA
1864;;;;;;HAITI
1864;3;250;;;;INDONESIA
1864;;;;;;CANADA
1865;2;5;;;;PERU
1865;;;;;;PERU
1865;;;;;;JAPAN
1865;;;;;;USA
1865;;;;;;USA
1865;;;0.5;;;USA
1865;;;;;;PHILIPPINES
1865;;;;223;;PHILIPPINES
1865;1.25;;;20;;TONGA
1865;;;;;;PERU
1866;;60;;;;ALBANIA
1866;;;;;;ALBANIA
1866;;;;;;GREECE
1866;;;;52;;GREECE
1866;;;;;;GREECE
1866;8.6;;;;;GREECE
1866;;60;;12;;ALBANIA
1866;;;;;;ALBANIA
1866;;;;;;ALBANIA
1866;;;;;;AUSTRALIA
1866;;;;;;AUSTRALIA
1866;;;;;;USA
1866;;;;;;USA TERRITORY
1866;;;;;;GREECE
1866;;;;;;USA
1867;;;;;;GREECE
1867;;563;;5915;5500;GREECE
1867;;16;;7;;ITALY
1867;;;;;;GREECE
1867;;;;;;NORWAY
1867;;5;;372;;INDONESIA
1867;;;;;;AUSTRALIA
1867;6;;;;;GREECE
1867;;;;;;VENEZUELA
1867;;;;;;GREECE
1867;15.2;24;;;;USA TERRITORY
1867;;;;;;GREECE
1867;15;580;;;;TAIWAN
1868;1.5;;;;;USA TERRITORY
1868;13.7;77;;;;USA
1868;;;;;;USA
1868;;;;;;USA
1868;;;;;;USA
1868;;;;;;UK
1868;6.1;;;;;USA
1868;;;;;;ITALY
1868;;;;;;MEXICO
1868;;;;;;USA
1868;;;;;;PERU
1868;;;;;;MEXICO
1868;18;25000;300;;;CHILE
1868;;;;;;VENEZUELA
1868;0.17;;;;;CHILE
1868;4;;;;;INDIA
1868;;;;;;ITALY
1868;1;;;;;CHILE
1868;6.1;;;;;USA
1868;;;;;;PERU
1868;1;;;;;CHILE
1868;3;;;;;NEW ZEALAND
1868;4.5;30;0.35;;;USA
1869;;;;;;NEW ZEALAND
1869;;;;;;CHILE
1869;;;;;;CHILE
1869;;;;;;USA
1869;;;;;;USA
1869;0.6;;;;;NEW ZEALAND
1869;;;;;;NEW ZEALAND
1869;;;;;;PERU
1869;;;;;;USA
1869;;;;;;CHILE
1869;8.2;;;;;USA
1869;3;;;;;CHILE
1869;;;;;;AUSTRALIA
1869;;;;;;PHILIPPINES
1869;;;;;;PERU
1869;;;;;;CHILE
1869;2;;;;;CHILE
1869;;;;;;GREECE
1869;;;;;;UKRAINE
1869;;;;;;GREECE
1870;0.6;;;;;NEW ZEALAND
1870;;;;;;NEW ZEALAND
1870;;24;;;;MEXICO
1870;;;;;;GUADELOUPE (FRENCH TERRITORY)
1870;;;;;;EGYPT
1870;;;;;;CROATIA
1870;;100;;;;GREECE
1870;;;;;;CROATIA
1870;;;;;;AUSTRALIA
1870;;2;;16;;CANADA
1870;;;;;;ITALY
1870;;;;;;ITALY
1871;;;;;;ITALY
1871;;;;;;PERU
1871;0.3;;;;;MEXICO
1871;;;;;;USA
1871;;;;;;USA
1871;25;400;;75;;INDONESIA
1871;1;;;;;CHILE
1871;;;;;;NEW ZEALAND
1871;;;;;;PHILIPPINES
1871;;;;;;USA
1871;;;;;;CHILE
1871;;;;;;PERU
1871;;;;;;INDONESIA
1871;;;;;;NEW ZEALAND
1871;;;;;;FRANCE
1871;;;;;;CHILE
1871;;;;;;GREECE
1871;;;;;;CHILE
1872;;;;;;PERU
1872;;;;;;USA
1872;;;;;;USA
1872;;;;;;PHILIPPINES
1872;3;804;;5796;;JAPAN
1872;;;;;;USA
1872;;1800;;;;TURKEY
1872;0.6;;;;;USA
1872;1.3;;;;;USA
1872;;;;;;USA
1872;0.1;;;;;USA
1872;0.51;;;;;USA
1872;;;;;;ICELAND
1872;;;;;;JAPAN
1873;;;;;;CHILE
1873;;;;;;PANAMA
1873;;;;;;GREECE
1873;;;;;;CHILE
1873;3.05;;;;;USA
1873;;;;;;PAPUA NEW GUINEA
1874;;;;;;USA TERRITORY
1874;;2000;;;;BANGLADESH
1874;24.38;;;;;USA
1874;;;;;;INDONESIA
1874;;;;;;AUSTRALIA
1875;;;;;;MEXICO
1875;;;;;;ITALY
1875;4;25;;;;NEW CALEDONIA
1875;;;;;;VANUATU
1875;;;;;;USA
1875;;;;;;PAPUA NEW GUINEA
1876;0.3;;;;;INDONESIA
1876;;;;;;JAPAN
1876;;;;;;ITALY
1876;;;;;;INDIA
1877;;;;;;USA
1877;;;;;;USA
1877;1.8;;;;;USA
1877;;;;;;USA
1877;24;2385;;;;CHILE
1877;;;;;;PERU
1877;;;;;;CHILE
1877;;;;;;CHILE
1877;1;;;;;CHILE
1877;;;;;;CHILE
1877;;;;;;VIETNAM
1877;;;;;;CHILE
1877;;;;;;COLOMBIA
1877;;;;;;NEW ZEALAND
1878;12;;;;;VANUATU
1878;;;;;;USA
1878;3.6;;;3;;USA
1878;;;;;;CHILE
1878;;5;;;;PERU
1878;;;;;;CHILE
1878;;;;;;CHILE
1878;;1;;;;PAPUA NEW GUINEA
1878;;;;;;PERU
1878;;;;;;VANUATU
1878;;;;;;CHILE
1878;;;;;;CHILE
1878;;;;;;CHILE
1878;;40;;;;TURKEY
1878;;;;;;CHILE
1878;;;;;;CHILE
1878;;;;;;USA
1878;;;;;;INDONESIA
1878;;;;;;VANUATU
1878;;;;;;CHILE
1878;;;;;;RUSSIA
1878;1;1;;;;USA
1878;;;;;;CHILE
1879;;;;;;ITALY
1879;0.9;;;;;NEW ZEALAND
1879;;;;;;EGYPT
1879;;;;;;CROATIA
1879;;;;;;CHILE
1879;;;;;;USA
1879;;;;;;USA
1880;;;;;;NORWAY
1880;;;;;;ITALY
1880;;20;;;;PHILIPPINES
1880;;2;;600;;CHILE
1880;;;;;;GREECE
1880;;;;;;NEW ZEALAND
1880;0.08;;;;;AUSTRALIA
1880;;;;;;USA
1880;1.8;;;;;USA
1880;;;;;;JAPAN
1881;;7866;;;;GREECE
1881;;;;;;GREECE
1881;3;;;;;NEW ZEALAND
1881;0.46;;;;;FIJI
1881;1.4;;;;;CHILE
1881;0.46;;;;;JAMAICA
1881;;;;;;JAPAN
1881;;;;;;CHILE
1881;;;;;;TONGA
1881;2;;;;;GREECE
1881;1.22;;;;;INDIA
1882;;;;;;SRI LANKA
1882;;;;;;CHILE
1882;1.2;;;;;NEW ZEALAND
1882;;;;;;VIETNAM
1882;3;;;;;PANAMA
1882;;;;;;CHILE
1882;;;;;;INDONESIA
1882;;8;;40;;TAIWAN
1882;;;;;;CHINA
1883;;;;;;MEXICO
1883;;;;;;SAMOA
1883;;;;;;INDONESIA
1883;;;;;;INDONESIA
1883;;;;;;GREECE
1883;41;36417;;;;INDONESIA
1883;9.14;8;;;;USA
1883;;;;;;INDONESIA
1883;;;;;;USA
1884;;;;;;URUGUAY
1884;;;;;;USA
1884;;;;;;FIJI
1884;;;;;;INDONESIA
1884;;;;;;ERITREA
1884;1.8;;;;;USA
1884;;;;;;USA
1884;;;;;;PANAMA
1884;0.1;;;;;USA
1884;;;;;;JAPAN
1884;2.4;;;;;USA
1885;;;;;;FRANCE
1885;;;;;;ALGERIA
1885;1.2;;;3;;INDONESIA
1885;;;;;;INDONESIA
1885;;;;;;INDONESIA
1885;1;;;;;CHILE
1885;;;;;;USA
1885;;;;;;USA
1885;;;;;;INDONESIA
1886;;;;;;INDONESIA
1886;0.3;;;;;NEW ZEALAND
1886;;;;;;GREECE
1886;;;;;;CHILE
1886;;;;;;USA
1886;;;;;;NEW ZEALAND
1886;;;;;;BANGLADESH
1887;;;;;;PHILIPPINES
1887;;;;;;USA
1887;2;;;;;ITALY
1887;;51;;;;MEXICO
1887;;;;;;INDONESIA
1887;0.06;;;;;USA
1887;;;;;;HAITI
1887;;;;;;GREECE
1888;15;;;;;PAPUA NEW GUINEA
1888;;;;;;INDONESIA
1888;7;1;;;;NORWAY
1888;;;;;;URUGUAY
1888;;;;;;CHINA
1888;;;;;;ITALY
1888;;;;;;GREECE
1889;;;;;;USA
1889;11;;;;;TONGA
1889;0.1;;;;;PHILIPPINES
1889;;;;;;INDONESIA
1889;4;;;;;INDONESIA
1889;;;;;;USA
1889;;;;;;INDONESIA
1889;;;;;;INDONESIA
1889;;;;;;ITALY
1890;;171;;;;IRAN
1891;;36;;75;;ALGERIA
1891;;;;;;INDONESIA
1891;;;;;;INDONESIA
1891;;;;;;INDONESIA
1891;;;;;;NEW ZEALAND
1891;;;;;;MEXICO
1891;;;;;;NEW ZEALAND
1891;;;;;;INDONESIA
1891;2.44;;;;;USA
1892;;;;;;INDONESIA
1892;;;;;;CHILE
1892;;;;;;URUGUAY
1892;;;;;;USA TERRITORY
1892;;;;;;INDONESIA
1892;0.75;1532;;;;INDONESIA
1892;;;;;;TONGA
1892;;;;;;VANUATU
1892;;;;;;ITALY
1892;;;;;;INDONESIA
1892;;1;;2;;JAPAN
1893;;;;;;GREECE
1893;1;1;;;;GREECE
1893;;;;;;JAMAICA
1893;;;;;;GREECE
1893;3;;;;;RUSSIA
